latitude,longitude,country
-75.250973,-0.071389,Antarctica
-38.416097,-63.616672,Argentina
-25.274398,133.775136,Australia
-14.235004,-51.92528,Brazil
56.130366,-106.346771,Canada
46.818188,8.227512,Switzerland
35.86166,104.195397,China
51.165691,10.451526,Germany
26.820553,30.802498,Egypt
40.463667,-3.74922,Spain
46.227638,2.213749,France
55.378051,-3.435973,United Kingdom
20.593684,78.96288,India
36.204824,138.252924,Japan
48.019573,66.923684,Kazakhstan
31.791702,-7.09262,Morocco
-18.766947,46.869107,Madagascar
46.862496,103.846656,Mongolia
-13.254308,34.301525,Malawi
17.607789,8.081666,Niger
45.943161,24.96676,Romania
61.52401,105.318756,Russia
33.886917,9.537499,Tunisia
-6.369028,34.888822,Tanzania
37.09024,-95.712891,USA
-32.522779,-55.765835,Uruguay
41.377491,64.585262,Uzbekistan
-30.559482,22.937506,South Africa
-19.015438,29.154857,Zimbabwe
